1,2,5,2022-12-05,2022-12-07
2,3,7,2022-12-05,0001-01-01
3,15,10,2022-12-05,2022-12-08
4,5,5,2022-12-07,2022-12-09
5,17,15,2022-12-07,0001-01-01
6,20,20,2022-12-07,0001-01-01
7,13,8,2022-12-07,0001-01-01
8,10,8,2022-12-07,0001-01-01
9,9,3,2022-12-07,2022-12-08
10,5,3,2022-12-08,2022-12-09
11,19,2,2022-12-08,0001-01-01
12,2,12,2022-12-08,2022-12-10
13,5,5,2022-12-09,0001-01-01
14,1,5,2022-12-09,0001-01-01
15,7,5,2022-12-09,0001-01-01
16,11,1,2022-12-09,2022-12-13
17,4,1,2022-12-09,2022-12-13
18,4,8,2022-12-13,0001-01-01
19,9,19,2022-12-14,0001-01-01
20,11,13,2022-12-15,2022-12-17
